,Country Name,2017,constant_amount
1,Afghanistan,36296400.0,1941846670.0
2,Angola,29816748.0,93052795.0
3,Albania,2873457.0,12019217.0
6,United Arab Emirates,9487203.0,74904.0
7,Argentina,44044811.0,3839420.0
8,Armenia,2944809.0,30998753.0
10,Antigua and Barbuda,95426.0,141122.0
13,Azerbaijan,9854033.0,12434664.0
14,Burundi,10827024.0,90378243.0
15,Belgium,11375158.0,9491.0
16,Benin,11175204.0,144779990.0
17,Burkina Faso,19193284.0,125780933.0
18,Bangladesh,159670593.0,351737543.0
19,Bulgaria,7075947.0,816198.0
20,Bahrain,1494074.0,106629.0
22,Bosnia and Herzegovina,3351527.0,57393009.0
23,Belarus,9498264.0,8862083.0
24,Belize,375769.0,24894.0
26,Bolivia,11192854.0,1906345.0
27,Brazil,207833831.0,25442381.0
28,Barbados,286233.0,69468.0
30,Bhutan,745568.0,632551.0
31,Botswana,2205128.0,26224158.0
32,Central African Republic,4596028.0,70401822.0
33,Canada,36543321.0,39031240.0
35,Switzerland,8451840.0,5216.0
37,Chile,18470439.0,633330.0
39,Cote d'Ivoire,24437469.0,127733553.0
40,Cameroon,24566045.0,49021118.0
43,Colombia,48901066.0,358782267.0
44,Comoros,813892.0,233661.0
45,Cabo Verde,537497.0,358084.0
46,Costa Rica,4949954.0,2584561.0
48,Cuba,11339259.0,1486566.0
54,Djibouti,944097.0,20407407.0
55,Dominica,71458.0,-634.0
57,Dominican Republic,10513131.0,62803642.0
58,Algeria,41389198.0,3326003.0
64,Ecuador,16785361.0,10357054.0
68,Spain,46593236.0,218428.0
70,Ethiopia,106400024.0,1151095650.0
74,Fiji,877459.0,1141739.0
75,France,66864379.0,95968.0
78,Gabon,2064823.0,1484644.0
79,United Kingdom,66058859.0,34260520.0
80,Georgia,3728004.0,80807126.0
81,Ghana,29121471.0,364156323.0
83,Guinea,12067539.0,114865531.0
85,Guinea-Bissau,1828146.0,10517784.0
86,Equatorial Guinea,1262001.0,3400738.0
87,Greece,10754679.0,643552.0
90,Guatemala,16087418.0,366110544.0
92,Guyana,775221.0,1229553.0
95,Honduras,9429013.0,199444141.0
97,Croatia,4124531.0,1558709.0
98,Haiti,10982366.0,425118423.0
99,Hungary,9787966.0,134367.0
104,Indonesia,264645886.0,278812485.0
107,India,1338658835.0,140717155.0
109,Ireland,4807388.0,803077.0
111,Iraq,37552781.0,863206120.0
112,Iceland,343400.0,25538.0
113,Israel,8713300.0,42661823.0
114,Italy,60536709.0,222823.0
115,Jamaica,2920853.0,33836628.0
116,Jordan,9779173.0,394533755.0
117,Japan,126785797.0,186617.0
118,Kazakhstan,18037776.0,16998242.0
119,Kenya,50221473.0,1100027633.0
121,Cambodia,16009414.0,147823910.0
123,St. Kitts and Nevis,52045.0,556633.0
128,Lebanon,6811873.0,233697555.0
129,Liberia,4702228.0,309802422.0
130,Libya,6580724.0,101130049.0
131,St. Lucia,180955.0,26245.0
136,Sri Lanka,21444000.0,75206902.0
139,Lesotho,2091412.0,72001321.0
146,Morocco,35581294.0,50821612.0
148,Moldova,2755158.0,46011783.0
149,Madagascar,25570540.0,161661442.0
152,Mexico,124777324.0,115458535.0
153,Marshall Islands,58058.0,136338141.0
156,Mali,18512394.0,386535255.0
160,Montenegro,622373.0,1213462.0
161,Mongolia,3113779.0,4960858.0
163,Mozambique,28649007.0,486003721.0
164,Mauritania,4282574.0,5198559.0
166,Malawi,17670260.0,500497036.0
167,Malaysia,31105028.0,3345007.0
169,Namibia,2402603.0,48375614.0
171,Niger,21602472.0,123687381.0
172,Nigeria,190873311.0,1086937596.0
173,Nicaragua,6384855.0,75389733.0
176,Nepal,27627124.0,288033096.0
180,Oman,4665935.0,616979.0
182,Pakistan,207896686.0,913140264.0
183,Panama,4106771.0,1077391.0
184,Peru,31444297.0,68037040.0
185,Philippines,105173264.0,230302473.0
186,Palau,17808.0,18680778.0
187,Papua New Guinea,8438029.0,16259168.0
192,Portugal,10300300.0,215162.0
193,Paraguay,6867062.0,12819783.0
201,Rwanda,11980937.0,188316231.0
203,Saudi Arabia,33099147.0,22974.0
205,Senegal,15419381.0,241478994.0
206,Singapore,5612253.0,315441.0
207,Solomon Islands,636038.0,1493310.0
208,Sierra Leone,7488431.0,107523246.0
209,El Salvador,6388122.0,144642298.0
211,Somalia,14589119.0,451062587.0
212,Serbia,7020858.0,14741047.0
217,Sao Tome and Principe,207089.0,139531.0
227,Chad,15016773.0,48123069.0
230,Togo,7698475.0,2039263.0
231,Thailand,69209858.0,18196934.0
232,Tajikistan,8880268.0,53816416.0
233,Turkmenistan,5757669.0,4289944.0
235,Timor-Leste,1243261.0,27569292.0
237,Tonga,101998.0,454969.0
240,Trinidad and Tobago,1384072.0,18704.0
241,Tunisia,11433443.0,73363011.0
242,Turkey,81101892.0,3576560.0
243,Tuvalu,11370.0,-232.0
244,Tanzania,54663906.0,757156143.0
245,Uganda,41162465.0,723008848.0
246,Ukraine,44831135.0,314214907.0
248,Uruguay,3436646.0,348153.0
250,Uzbekistan,32388600.0,18253457.0
255,Vietnam,94596642.0,176609768.0
256,Vanuatu,285510.0,1737113.0
258,Samoa,195352.0,428330.0
261,South Africa,57000451.0,668503547.0
262,Zambia,16853688.0,471302181.0
263,Zimbabwe,14236745.0,316234742.0
